Rank,Team,MP,W,L,D,GF,GA,GD,PTS,PPG,Region,SourceURL,League/Division,GP,Pts,StrengthIndex
1,Dublin United Soccer Club DUSC Gladiators 2017 Boys,10.0,9,0,1,3.5,0.5,3.0,28,2.8,Unknown,https://system.gotsport.com/org_event/events/45535/results?group=418537,OCL BU09 7v7 Stripes,10.0,28,89.3
2,Dublin United Soccer Club DUSC Voltage 2017 Boys,12.0,11,1,0,4.75,1.5,3.25,33,2.75,Unknown,https://system.gotsport.com/org_event/events/45535/results?group=418537,OCL BU09 7v7 Stripes,12.0,33,88.9
3,Dublin United Soccer Club DUSC Crew 2017 Boys,9.0,7,0,2,5.11,1.89,3.0,23,2.56,Unknown,https://system.gotsport.com/org_event/events/45535/results?group=418537,OCL BU09 7v7 Stripes,9.0,23,83.7
4,Locker Soccer Academy Locker Elite Lecce 2017 Boys,8.0,7,1,0,3.0,1.38,1.63,21,2.63,Unknown,https://system.gotsport.com/org_event/events/45535/results?group=418537,OCL BU09 7v7 Stripes,8.0,21,81.3
5,Granville United FC Granville United FC 2017 Boys,10.0,8,1,1,2.9,1.3,1.6,25,2.5,Unknown,https://system.gotsport.com/org_event/events/45535/results?group=418537,OCL BU09 7v7 Stripes,10.0,25,78.1
6,Club Ohio Club Ohio North 17B Academy II,6.0,5,1,0,4.17,2.67,1.5,15,2.5,Unknown,https://system.gotsport.com/org_event/events/45535/results?group=418537,OCL BU09 7v7 Stripes,6.0,15,77.8
7,Club Ohio Club Ohio East 17B Academy,10.0,6,1,3,4.4,1.9,1.8,21,2.1,Unknown,https://system.gotsport.com/org_event/events/45535/results?group=418537,OCL BU09 7v7 Stripes,10.0,21,69.4
8,Barcelona United Barcelona United Elite II 17B,9.0,6,2,1,5.0,3.89,1.11,19,2.11,Unknown,https://system.gotsport.com/org_event/events/45535/results?group=418537,OCL BU09 7v7 Stripes,9.0,19,67.6
9,Pataskala Futbol Club Extreme (PFC Extreme) PFC Extreme U9B Black,10.0,6,1,3,4.2,2.7,1.1,21,2.1,Unknown,https://system.gotsport.com/org_event/events/45535/results?group=418537,OCL BU09 7v7 Stripes,10.0,21,67.3
10,Glory SC Glory SC 2017-2018 Ashe,8.0,5,2,1,4.25,1.88,1.75,16,2.0,Unknown,https://system.gotsport.com/org_event/events/45535/results?group=418537,OCL BU09 7v7 Stripes,8.0,16,66.9
11,Johnstown FC Johnstown FC 2017 Boys,11.0,7,2,2,4.27,2.91,0.91,23,2.09,Unknown,https://system.gotsport.com/org_event/events/45535/results?group=418537,OCL BU09 7v7 Stripes,11.0,23,66.5
12,All Out SC All Out SC 2017,4.0,2,0,2,3.5,2.25,1.25,8,2.0,Unknown,https://system.gotsport.com/org_event/events/45535/results?group=418537,OCL BU09 7v7 Stripes,4.0,8,65.4
13,Dublin United Soccer Club DUSC Shelbourne 2017 Boys,10.0,5,3,2,3.9,3.3,0.6,17,1.7,Unknown,https://system.gotsport.com/org_event/events/45535/results?group=418537,OCL BU09 7v7 Stripes,10.0,17,56.5
14,Upper Arlington United UAU 2017 BU U9 SILVER,11.0,6,4,1,4.0,2.91,0.36,19,1.73,Unknown,https://system.gotsport.com/org_event/events/45535/results?group=418537,OCL BU09 7v7 Stripes,11.0,19,56.4
15,Locker Soccer Academy Locker Elite Parma 2017 Boys,7.0,4,3,0,2.71,2.71,0.0,12,1.71,Unknown,https://system.gotsport.com/org_event/events/45535/results?group=418537,OCL BU09 7v7 Stripes,7.0,12,54.9
16,Delaware Knights Delaware Knights 2017 BU09,7.0,4,3,0,2.0,2.0,0.0,12,1.71,Unknown,https://system.gotsport.com/org_event/events/45535/results?group=418537,OCL BU09 7v7 Stripes,7.0,12,54.9
17,Appleseed Premier Appleseed Premier 2017 Gold,8.0,4,3,1,2.5,2.13,0.38,13,1.63,Unknown,https://system.gotsport.com/org_event/events/45535/results?group=418537,OCL BU09 7v7 Stripes,8.0,13,54.2
18,Club Ohio Club Ohio West 17B Academy II,4.0,2,2,0,3.0,3.0,0.0,6,1.5,Unknown,https://system.gotsport.com/org_event/events/45535/results?group=418537,OCL BU09 7v7 Stripes,4.0,6,50.0
19,LFC United LFC United 2017 B Elite,6.0,3,3,0,2.17,2.67,-0.33,9,1.5,Unknown,https://system.gotsport.com/org_event/events/45535/results?group=418537,OCL BU09 7v7 Stripes,6.0,9,49.0
20,Grandview FC Grandview FC 2017 Boys White,9.0,4,4,1,3.0,3.33,-0.33,13,1.44,Unknown,https://system.gotsport.com/org_event/events/45535/results?group=418537,OCL BU09 7v7 Stripes,9.0,13,47.6
21,Final Third Foundation Affiliate Galacticos FC 2017/18 Zidane,5.0,2,2,1,3.2,4.0,-0.2,7,1.4,Unknown,https://system.gotsport.com/org_event/events/45535/results?group=418537,OCL BU09 7v7 Stripes,5.0,7,47.1
